Opt,CNN_Layers,Dense_Layers,Arch,Loss,Acc
SGD,0,3,0_3,1.504688,29.6522
Adam,0,1,0_1,0.298756,90.0870
SGD,6,3,6_3,1.587135,29.6522
Adagrad,4,2,4_2,2.113724,21.2174
Adamax,0,2,0_2,0.279389,90.1739
Adam,3,3,3_3,0.728110,72.5217
Adadelta,7,2,7_2,1.330332,44.7826
rmsprop,7,1,7_1,1.413454,28.0870
Adamax,3,0,3_0,0.428882,86.6957
Adamax,2,2,2_2,0.297596,88.8696
SGD,2,2,2_2,1.519126,29.6522
Adadelta,3,0,3_0,0.500859,82.0000
SGD,6,4,6_4,1.593251,22.7826
Adam,1,4,1_4,0.245869,91.7391
Adam,2,3,2_3,0.294737,89.2174
Adadelta,6,3,6_3,2.005710,22.6957
Adagrad,0,3,0_3,0.259292,91.2174
Adagrad,8,4,8_4,1.645765,22.6957
Adamax,6,1,6_1,1.535404,24.4348
Nadam,5,0,5_0,0.504895,82.5217
Nadam,2,2,2_2,0.353415,87.3043
rmsprop,8,2,8_2,1.840860,22.6957
Nadam,1,3,1_3,0.354727,88.0870
Adamax,2,0,2_0,0.445167,85.3913
Adagrad,1,4,1_4,0.289214,89.8261
Adadelta,3,0,3_0,0.496434,84.8696
rmsprop,8,1,8_1,1.935769,22.6957
Adam,1,0,1_0,0.412258,87.7391
Adamax,8,4,8_4,1.762568,22.6957
Adamax,2,1,2_1,0.377573,87.4783
SGD,4,2,4_2,1.571847,29.6522
Nadam,0,1,0_1,0.252860,92.0870
Adadelta,7,1,7_1,1.248990,31.1304
SGD,3,4,3_4,1.578258,29.6522
Adadelta,1,2,1_2,0.347748,88.8696
SGD,8,4,8_4,1.591334,29.6522
Nadam,2,0,2_0,0.396626,86.6957
Adamax,2,1,2_1,0.321687,89.1304
Adadelta,5,0,5_0,0.928497,66.9565
rmsprop,8,4,8_4,1.774164,22.6957
Adagrad,0,4,0_4,0.399639,86.3478
SGD,6,2,6_2,1.581575,29.6522
Adamax,2,3,2_3,0.428274,85.2174
rmsprop,5,0,5_0,0.438796,85.1304
SGD,4,3,4_3,1.577984,29.6522
Adam,4,2,4_2,1.598824,26.7826
Adam,7,1,7_1,1.299106,28.1739
rmsprop,4,3,4_3,2.247070,26.0870
Nadam,4,4,4_4,1.821010,23.3913
Adagrad,3,1,3_1,0.424097,84.7826
rmsprop,8,3,8_3,2.045929,22.6957
Adadelta,4,4,4_4,1.272794,37.3913
SGD,4,4,4_4,1.585546,29.6522
Nadam,3,2,3_2,0.725378,69.3043
Adadelta,8,2,8_2,1.714903,22.6957
rmsprop,6,4,6_4,1.987969,20.6087
Nadam,0,0,0_0,0.380557,88.0870
Adadelta,2,4,2_4,0.536049,81.7391
Adam,8,0,8_0,1.550924,35.3043
rmsprop,3,3,3_3,1.975242,20.6957
SGD,7,4,7_4,1.589940,29.6522
Adagrad,3,2,3_2,1.222179,50.4348
rmsprop,0,0,0_0,0.506971,82.0000
Nadam,8,3,8_3,1.359048,29.6522
Adam,6,4,6_4,1.688529,19.6522
rmsprop,2,4,2_4,0.734237,75.3913
Nadam,3,2,3_2,0.592648,78.5217
Adamax,7,0,7_0,1.501042,43.1304
Adamax,4,4,4_4,1.845683,22.6957
Nadam,1,0,1_0,0.392272,88.0000
Adadelta,4,1,4_1,1.195796,49.0435
rmsprop,0,1,0_1,0.300300,90.1739
rmsprop,4,1,4_1,0.840343,70.0870
rmsprop,8,2,8_2,1.826580,22.6957
Adadelta,1,1,1_1,0.421595,84.8696
Adagrad,7,3,7_3,1.564899,29.6522
rmsprop,1,3,1_3,0.344056,90.6087
rmsprop,0,0,0_0,0.431388,85.1304
Adam,2,3,2_3,0.259979,90.9565
Nadam,7,0,7_0,1.370023,28.0000
rmsprop,6,4,6_4,2.296005,20.3478
Nadam,1,3,1_3,0.271915,91.5652
Nadam,2,3,2_3,0.316963,88.0000
rmsprop,8,0,8_0,1.650298,22.6957
SGD,1,4,1_4,1.557929,29.6522
rmsprop,6,1,6_1,1.438736,30.2609
Adagrad,1,4,1_4,0.290696,90.5217
Adagrad,6,1,6_1,1.436629,30.6087
Adam,0,2,0_2,0.241683,91.2174
Adadelta,1,1,1_1,0.372097,86.6957
rmsprop,8,0,8_0,1.414133,24.2609
Nadam,8,4,8_4,1.566608,29.6522
Adam,0,3,0_3,0.260584,91.4783
Adagrad,4,0,4_0,0.530929,83.8261
Nadam,8,0,8_0,1.492706,36.0000
Adamax,4,2,4_2,1.569942,31.5652
SGD,2,3,2_3,1.568851,29.6522
rmsprop,7,0,7_0,1.550056,24.2609
Adagrad,5,1,5_1,1.195698,49.0435
rmsprop,5,3,5_3,1.609854,26.6957
Adamax,4,4,4_4,1.908367,23.8261
Adadelta,6,4,6_4,2.445120,20.4348
Nadam,8,3,8_3,1.996064,20.0000
SGD,8,0,8_0,1.588636,29.6522
Adam,2,2,2_2,0.273431,90.6087
SGD,6,3,6_3,1.587596,29.6522
Adamax,5,4,5_4,2.069518,22.6957
Adagrad,5,2,5_2,1.268496,42.7826
Adadelta,7,3,7_3,1.545674,22.6957
Adagrad,2,0,2_0,0.533146,80.0870
Adam,3,2,3_2,0.366775,86.6957
Adam,6,0,6_0,0.606410,79.0435
rmsprop,3,4,3_4,1.083649,53.9130
Adagrad,7,4,7_4,1.754080,22.6957
rmsprop,3,2,3_2,0.614513,78.3478
Nadam,6,3,6_3,2.187731,20.9565
rmsprop,1,3,1_3,0.389133,88.4348
Adagrad,4,1,4_1,0.754908,73.4783
SGD,6,4,6_4,1.588986,29.6522
Nadam,6,4,6_4,1.991995,23.3913
Nadam,7,3,7_3,1.697585,26.0000
Adagrad,7,4,7_4,1.733228,22.6957
Adamax,7,2,7_2,1.516119,23.4783
SGD,5,1,5_1,1.473339,44.6087
SGD,6,4,6_4,1.589401,29.6522
Adadelta,7,0,7_0,1.494809,24.5217
Adam,5,3,5_3,1.803326,24.6957
Adamax,1,2,1_2,0.328800,88.3478
Adam,5,3,5_3,1.727880,25.3043
Adagrad,0,1,0_1,0.273038,90.2609
Adam,3,1,3_1,0.404399,85.5652
Nadam,2,4,2_4,0.596368,77.2174
Adam,4,4,4_4,1.733450,25.3913
SGD,7,1,7_1,1.586796,29.6522
Adagrad,1,3,1_3,0.284491,89.9130
Adadelta,1,3,1_3,0.398945,85.6522
Adamax,6,3,6_3,1.883697,22.6957
Adadelta,0,0,0_0,0.406670,86.9565
Adadelta,0,0,0_0,0.614996,74.5217
Adam,8,1,8_1,1.615956,22.6957
rmsprop,5,2,5_2,1.797860,25.2174
Adadelta,6,4,6_4,1.434098,26.5217
Adadelta,1,1,1_1,0.466765,83.4783
rmsprop,3,0,3_0,0.483369,82.2609
Adadelta,3,1,3_1,0.743425,74.0000
SGD,1,0,1_0,1.510746,29.6522
Adagrad,5,2,5_2,1.553222,28.1739
Nadam,3,4,3_4,1.332882,45.5652
Adagrad,7,0,7_0,1.313919,43.6522
SGD,1,3,1_3,1.556635,29.6522
Nadam,3,3,3_3,1.394541,42.6957
Nadam,1,0,1_0,0.374352,88.9565
Adam,1,0,1_0,0.461300,84.5217
Adagrad,8,4,8_4,1.597780,22.6957
Adamax,1,1,1_1,0.259966,91.3913
Adamax,1,4,1_4,0.261779,90.1739
SGD,0,1,0_1,1.406340,31.7391
Adadelta,6,2,6_2,1.729999,23.6522
Adam,3,4,3_4,1.590433,30.8696
Nadam,5,0,5_0,0.556914,79.1304
Nadam,7,1,7_1,1.520656,24.9565
rmsprop,6,0,6_0,1.045522,54.6957
Adadelta,8,0,8_0,1.543781,22.6957
Adam,8,4,8_4,1.818649,22.6957
rmsprop,0,0,0_0,0.589228,76.0870
SGD,3,0,3_0,0.975610,64.6957
Adagrad,2,3,2_3,0.980307,63.2174
SGD,0,3,0_3,1.530782,29.6522
Nadam,8,3,8_3,1.398762,26.2609
Adadelta,7,2,7_2,1.405860,27.2174
rmsprop,3,2,3_2,0.680558,74.3478
Adadelta,7,2,7_2,1.773460,21.5652
rmsprop,1,2,1_2,0.285223,90.1739
Adagrad,2,4,2_4,1.017661,62.3478
Adagrad,6,0,6_0,0.971967,63.0435
Adamax,8,1,8_1,1.622746,22.6957
Adadelta,2,0,2_0,0.438130,86.0870
Nadam,2,1,2_1,0.361183,87.3043
rmsprop,4,4,4_4,1.847347,24.6087
Adamax,5,1,5_1,1.460261,34.2609
Adadelta,3,1,3_1,0.948287,62.5217
Adamax,5,2,5_2,1.792014,26.0870
Adamax,5,4,5_4,1.765123,22.6957
Nadam,3,4,3_4,1.341816,42.1739
Adamax,0,0,0_0,0.462083,85.9130
Adam,4,4,4_4,1.921236,23.0435
SGD,7,0,7_0,1.588904,29.6522
Nadam,1,4,1_4,0.446826,83.8261
SGD,3,3,3_3,1.546901,29.6522
SGD,6,1,6_1,1.577575,29.6522
SGD,6,3,6_3,1.587423,29.6522
SGD,7,1,7_1,1.586782,29.6522
Adagrad,2,3,2_3,0.905393,66.7826
SGD,5,4,5_4,1.585491,29.6522
Adadelta,1,0,1_0,0.447934,85.1304
Adadelta,3,0,3_0,0.477982,84.6087
rmsprop,8,2,8_2,1.639589,22.6957
rmsprop,3,1,3_1,0.494500,83.5652
Adam,8,0,8_0,1.073515,50.6957
SGD,6,2,6_2,1.581705,29.6522
Adam,4,0,4_0,0.433021,86.4348
Adagrad,5,0,5_0,0.669815,74.3478
Adadelta,3,3,3_3,1.000324,62.1739
rmsprop,5,0,5_0,0.552366,81.6522
Adadelta,1,3,1_3,0.302393,90.0000
SGD,1,3,1_3,1.550501,29.6522
Adamax,1,0,1_0,0.424857,87.0435
SGD,1,0,1_0,1.429856,29.7391
rmsprop,3,4,3_4,1.645083,30.4348
SGD,1,1,1_1,1.417918,29.6522
SGD,8,4,8_4,1.589712,29.6522
Adam,4,1,4_1,1.251972,42.4348
Adadelta,7,4,7_4,1.892403,22.6957
rmsprop,6,0,6_0,1.190326,47.2174
rmsprop,8,2,8_2,1.931303,22.6957
rmsprop,0,1,0_1,0.305947,90.6957
Adam,8,4,8_4,2.019851,22.6957
SGD,8,2,8_2,1.589981,29.6522
Nadam,7,1,7_1,1.543537,30.7826
SGD,2,0,2_0,0.834054,67.8261
Adamax,6,2,6_2,1.645243,23.3913
SGD,0,1,0_1,1.468063,29.6522
rmsprop,1,3,1_3,0.266081,90.9565
Adagrad,2,2,2_2,1.114773,64.1739
Adagrad,1,3,1_3,0.356606,87.1304
rmsprop,1,2,1_2,0.288715,89.3913
rmsprop,8,0,8_0,1.335125,45.3913
Nadam,2,0,2_0,0.465334,84.6957
rmsprop,0,0,0_0,0.566547,79.4783
Adamax,4,2,4_2,1.675888,32.1739
Adamax,5,2,5_2,1.708911,23.3913
Adagrad,7,4,7_4,1.587156,22.6957
SGD,7,0,7_0,1.587979,29.6522
Adadelta,3,0,3_0,1.022807,65.2174
Adamax,5,0,5_0,1.234939,46.0000
Nadam,5,4,5_4,1.943399,22.1739
Adamax,2,1,2_1,0.339402,88.4348
Adam,6,4,6_4,2.223454,22.6957
Adamax,4,0,4_0,0.429353,87.3913
SGD,3,1,3_1,1.524632,29.6522
Adamax,1,0,1_0,0.427649,86.5217
SGD,2,3,2_3,1.542108,29.6522
Nadam,5,1,5_1,1.292060,48.2609
Adadelta,6,4,6_4,1.774355,22.6957
Adamax,0,3,0_3,0.276511,90.3478
Adamax,6,3,6_3,1.934512,22.6957
Adamax,4,2,4_2,1.781376,24.9565
Nadam,4,3,4_3,0.997335,60.0870
SGD,4,0,4_0,1.325779,55.6522
SGD,4,3,4_3,1.579998,29.6522
Adam,2,1,2_1,0.317084,89.7391
Adam,2,0,2_0,0.409450,87.2174
Adadelta,0,0,0_0,0.396057,87.7391
rmsprop,4,4,4_4,1.467081,28.6087
Adam,2,1,2_1,0.245066,91.0435
Adam,1,4,1_4,0.246387,91.9130
Adadelta,5,4,5_4,2.022822,22.6957
Adagrad,6,4,6_4,1.930010,22.3478
Nadam,1,2,1_2,0.311725,90.2609
Nadam,7,1,7_1,1.679854,23.9130
Adadelta,6,2,6_2,1.842489,23.4783
Adadelta,3,3,3_3,1.575814,32.3478
rmsprop,4,3,4_3,1.210907,47.1304
Adadelta,4,4,4_4,2.228015,20.2609
Adadelta,0,0,0_0,0.424146,85.3913
Adamax,0,2,0_2,0.264417,91.3043
SGD,4,0,4_0,1.570549,29.6522
Adadelta,1,2,1_2,0.776577,68.1739
SGD,2,3,2_3,1.573651,29.6522
SGD,0,0,0_0,0.825036,67.3913
Adadelta,6,0,6_0,1.322026,42.1739
Nadam,8,2,8_2,1.457963,33.1304
rmsprop,6,0,6_0,1.070511,56.5217
SGD,1,4,1_4,1.567608,29.6522
SGD,3,4,3_4,1.585394,29.6522
Adam,3,0,3_0,0.412937,86.8696
Nadam,6,1,6_1,1.534011,30.1739
Adamax,6,0,6_0,1.439427,27.8261
Adamax,0,4,0_4,0.240476,92.0870
Nadam,5,3,5_3,1.625349,21.3043
SGD,1,4,1_4,1.541942,29.6522
Nadam,4,1,4_1,0.443611,84.6957
Adam,2,3,2_3,0.349265,88.6957
Adadelta,2,2,2_2,0.880415,62.8696
SGD,8,3,8_3,1.589275,29.6522
SGD,1,2,1_2,1.484441,29.6522
Adamax,4,1,4_1,1.451814,38.2609
SGD,2,1,2_1,1.555194,29.6522
Adadelta,1,3,1_3,0.273449,90.1739
Adagrad,0,0,0_0,0.423113,86.8696
Adamax,5,4,5_4,1.973831,22.6957
Adam,4,3,4_3,1.850002,26.7826
SGD,2,4,2_4,1.581130,29.6522
Adam,2,1,2_1,0.292937,89.9130
Adagrad,8,2,8_2,1.606667,23.6522
Adagrad,2,2,2_2,0.731923,71.5652
Nadam,7,0,7_0,1.122549,46.6087
rmsprop,8,0,8_0,1.552683,33.0435
Adagrad,0,1,0_1,0.361543,87.9130
rmsprop,5,2,5_2,1.567458,25.8261
SGD,7,0,7_0,1.586354,29.6522
Adagrad,2,0,2_0,0.442094,84.6957
Adam,7,0,7_0,1.017074,57.0435
SGD,4,2,4_2,1.478187,45.0435
SGD,2,0,2_0,0.836800,68.7826
SGD,2,1,2_1,1.500458,29.6522
Nadam,7,2,7_2,1.610883,23.6522
SGD,0,0,0_0,1.438142,29.6522
Adadelta,8,0,8_0,1.135106,53.0435
Adam,3,3,3_3,1.480921,38.0870
rmsprop,1,1,1_1,0.304886,89.1304
Adamax,3,4,3_4,1.744566,28.8696
Adagrad,6,2,6_2,1.621987,23.5652
Adam,3,1,3_1,0.403654,86.6087
SGD,4,3,4_3,1.585919,29.6522
rmsprop,8,1,8_1,1.368300,26.5217
rmsprop,1,4,1_4,0.291790,90.8696
Adam,4,2,4_2,1.478180,34.7826
Adadelta,8,0,8_0,1.761004,22.6957
Adam,0,1,0_1,0.267400,90.8696
SGD,7,1,7_1,1.587851,29.6522
SGD,0,2,0_2,1.539224,29.6522
Adamax,6,1,6_1,1.620819,22.6957
rmsprop,8,4,8_4,1.832868,22.6957
Adagrad,6,1,6_1,1.651935,23.6522
Adadelta,0,3,0_3,0.244571,91.7391
Adagrad,2,0,2_0,0.431171,86.7826
SGD,0,4,0_4,1.574579,29.6522
rmsprop,7,3,7_3,1.949479,22.7826
Adadelta,2,2,2_2,0.380634,86.4348
Nadam,0,0,0_0,0.415501,85.9130
Adadelta,3,2,3_2,0.771295,69.9130
Adadelta,3,0,3_0,0.905684,65.0435
Adadelta,7,2,7_2,1.515475,26.8696
Adadelta,2,4,2_4,0.885012,65.1304
Adamax,1,2,1_2,0.255939,91.2174
Nadam,4,0,4_0,0.479058,85.0435
Adagrad,8,4,8_4,1.916200,22.6957
rmsprop,2,1,2_1,0.409651,85.2174
Adamax,3,0,3_0,0.460923,84.9565
Nadam,1,2,1_2,0.289052,89.8261
Adamax,8,1,8_1,1.606832,22.6957
SGD,8,1,8_1,1.589642,29.6522
Adam,2,3,2_3,0.416662,84.0000
Adagrad,6,4,6_4,1.829451,21.8261
Adadelta,7,0,7_0,1.445203,25.3913
Nadam,6,3,6_3,2.376837,20.2609
Nadam,3,2,3_2,0.563954,79.3913
Adadelta,3,1,3_1,0.633328,75.5652
Adadelta,5,2,5_2,1.291353,38.4348
Adam,7,4,7_4,2.017879,22.6957
Nadam,8,4,8_4,1.564403,29.6522
Adam,8,4,8_4,1.944199,22.6957
Adam,0,1,0_1,0.328837,89.5652
Nadam,2,3,2_3,0.344735,86.6957
Adamax,6,1,6_1,1.584785,23.5652
Nadam,8,3,8_3,1.702562,22.6957
Nadam,6,1,6_1,1.522277,28.0000
Adadelta,3,2,3_2,0.985816,62.8696
Adamax,6,4,6_4,1.661048,22.6087
Adagrad,2,1,2_1,0.495717,82.0000
SGD,8,0,8_0,1.589633,29.6522
rmsprop,2,2,2_2,0.841982,62.9565
Adadelta,6,1,6_1,1.799332,23.3043
SGD,6,3,6_3,1.588121,29.6522
Nadam,3,2,3_2,0.700489,72.4348
Adamax,1,0,1_0,0.462172,86.5217
Adam,2,3,2_3,0.288392,89.4783
Adadelta,3,3,3_3,0.858106,65.7391
rmsprop,0,2,0_2,0.358394,87.0435
rmsprop,1,0,1_0,0.482544,85.6522
Adam,5,2,5_2,1.937505,26.3478
Adadelta,2,1,2_1,0.319623,88.4348
Nadam,3,3,3_3,1.086912,60.6087
Nadam,0,4,0_4,0.288787,90.2609
rmsprop,2,2,2_2,0.387580,86.9565
Adam,5,0,5_0,0.446902,84.6957
Nadam,5,2,5_2,1.696449,29.3043
Adam,1,1,1_1,0.302002,89.1304
Adamax,4,4,4_4,2.000741,22.9565
Adagrad,6,1,6_1,1.519742,27.8261
Adagrad,4,1,4_1,1.254410,41.8261
Adamax,6,3,6_3,2.013405,22.6957
SGD,6,0,6_0,1.579891,29.6522
Adadelta,6,2,6_2,1.559315,26.7826
Adamax,2,2,2_2,0.297378,89.4783
Adadelta,1,0,1_0,0.750922,71.3043
Nadam,4,1,4_1,0.657024,76.6957
SGD,3,1,3_1,1.507175,29.6522
Adamax,6,1,6_1,1.549024,23.6522
Adam,1,4,1_4,0.251632,92.4348
Adam,6,1,6_1,1.591192,24.5217
Nadam,4,2,4_2,1.642328,32.7826
Adagrad,5,3,5_3,2.022023,25.5652
Adagrad,8,0,8_0,1.582672,22.6957
Adadelta,3,1,3_1,0.799921,70.9565
Adagrad,3,4,3_4,1.559433,35.5652
Adam,1,3,1_3,0.238521,92.0870
Adamax,8,0,8_0,1.307920,44.6087
Adamax,5,3,5_3,1.961384,22.6957
Adadelta,8,4,8_4,1.454432,22.7826
Adamax,7,2,7_2,1.638612,24.1739
Adam,6,3,6_3,1.814955,22.6957
Adam,7,1,7_1,1.637593,22.6957
Nadam,1,1,1_1,0.334174,86.9565
Adadelta,6,1,6_1,1.605655,23.3043
Adamax,2,4,2_4,1.206472,47.9130
Nadam,3,0,3_0,0.493552,83.0435
rmsprop,3,3,3_3,0.963871,60.8696
Adagrad,0,2,0_2,0.265019,90.2609
Nadam,7,3,7_3,2.142297,20.4348
Adamax,8,1,8_1,1.531475,25.2174
rmsprop,1,4,1_4,0.473659,85.0435
Adagrad,3,0,3_0,0.463377,85.3913
Adagrad,8,0,8_0,1.611387,22.9565
Adagrad,7,3,7_3,1.612645,22.6957
Adadelta,4,0,4_0,0.765438,71.8261
Nadam,4,0,4_0,0.415241,86.5217
SGD,6,0,6_0,1.578856,29.6522
Nadam,4,4,4_4,1.688842,25.3043
Adadelta,1,4,1_4,0.293092,90.6957
SGD,5,2,5_2,1.574454,29.6522
Adamax,3,3,3_3,1.296943,42.1739
rmsprop,5,3,5_3,2.322264,20.2609
Nadam,7,1,7_1,1.462758,27.5652
Adadelta,7,4,7_4,2.338496,20.2609
rmsprop,5,0,5_0,1.012443,67.0435
Adamax,2,2,2_2,0.328085,88.6957
SGD,4,1,4_1,1.551485,29.6522
SGD,0,1,0_1,1.440379,29.6522
SGD,2,2,2_2,1.554933,29.6522
rmsprop,5,3,5_3,2.019741,20.9565
Adam,6,4,6_4,1.841029,22.6957
Adadelta,0,0,0_0,0.498651,81.8261
Nadam,1,4,1_4,0.487463,82.4348
SGD,4,0,4_0,1.567206,29.6522
Nadam,6,1,6_1,2.185091,22.8696
rmsprop,4,4,4_4,2.152528,20.5217
Adam,5,4,5_4,2.191161,22.6957
Adadelta,7,0,7_0,1.362454,37.4783
Adam,3,4,3_4,1.493711,29.8261
Adadelta,2,3,2_3,0.473534,83.1304
Adadelta,4,0,4_0,1.214127,54.9565
Nadam,2,4,2_4,0.844894,67.8261
Adamax,6,0,6_0,1.012356,53.4783
Adagrad,6,1,6_1,1.473674,25.4783
Adadelta,1,1,1_1,0.560083,79.2174
Nadam,1,0,1_0,0.377252,87.3043
Adadelta,4,2,4_2,1.186644,50.9565
Adam,0,2,0_2,0.303541,89.2174
Adamax,1,3,1_3,0.260074,91.1304
Adagrad,0,3,0_3,0.292477,89.4783
Nadam,3,4,3_4,1.393592,39.1304
Adadelta,5,0,5_0,1.087044,60.9565
Adamax,5,4,5_4,1.908246,22.6957
SGD,2,4,2_4,1.584258,29.6522
Adamax,3,3,3_3,1.436794,38.1739
Adadelta,5,0,5_0,0.698424,76.4348
SGD,3,3,3_3,1.569590,29.6522
Adam,8,3,8_3,1.835643,22.6957
Adamax,2,4,2_4,1.352369,41.3043
Adam,3,0,3_0,0.488667,83.6522
SGD,6,0,6_0,1.573777,23.2174
SGD,1,0,1_0,1.476637,29.6522
Adagrad,7,0,7_0,1.504862,25.3913
SGD,3,3,3_3,1.569719,29.6522
Adamax,4,3,4_3,1.792385,23.8261
Adagrad,3,4,3_4,1.261185,57.1304
Adam,3,2,3_2,0.437361,83.9130
rmsprop,3,1,3_1,0.429010,85.6522
SGD,7,3,7_3,1.587586,29.6522
SGD,2,3,2_3,1.576140,29.6522
Nadam,2,1,2_1,0.440129,84.7826
Adagrad,0,4,0_4,0.327305,89.6522
Nadam,6,2,6_2,1.543580,28.0870
Adam,3,2,3_2,0.445735,84.4348
Adagrad,1,1,1_1,0.321842,89.6522
SGD,5,1,5_1,1.563558,29.6522
Adam,2,0,2_0,0.437930,85.3913
Nadam,5,4,5_4,1.834381,22.0000
rmsprop,4,1,4_1,1.181655,52.0000
SGD,5,4,5_4,1.587590,29.6522
Adam,4,2,4_2,1.589852,27.8261
Adadelta,6,4,6_4,1.479062,31.5652
Adamax,1,0,1_0,0.426607,87.2174
SGD,1,4,1_4,1.549522,29.6522
Adadelta,5,4,5_4,1.447992,28.9565
SGD,6,2,6_2,1.585505,29.6522
Adadelta,7,3,7_3,1.838840,22.6957
Adam,7,4,7_4,1.909687,22.6957
Adagrad,3,2,3_2,1.088163,58.6087
SGD,1,2,1_2,1.491091,29.6522
Adam,4,1,4_1,0.531673,81.2174
Adam,6,3,6_3,2.085568,20.4348
Adagrad,4,1,4_1,1.208679,46.7826
rmsprop,0,0,0_0,0.465469,84.8696
Adamax,3,4,3_4,1.646426,26.8696
rmsprop,6,1,6_1,1.614176,22.0870
Nadam,8,3,8_3,2.086713,22.6957
Nadam,6,0,6_0,1.258900,40.9565
Adadelta,5,3,5_3,1.979669,22.9565
Nadam,6,3,6_3,2.112579,23.8261
Nadam,5,2,5_2,0.923360,68.0000
Nadam,4,4,4_4,1.516495,28.5217
