Opt,CNN_Layers,Dense_Layers,Arch,Loss,Acc
rmsprop,2,2,2_2,0.309291,88.7826
Nadam,4,0,4_0,0.453307,84.3478
Adadelta,8,0,8_0,1.450190,25.5652
Adadelta,6,3,6_3,1.388906,31.4783
Adamax,5,0,5_0,0.736589,72.4348
Adam,8,1,8_1,1.732008,20.7826
rmsprop,2,0,2_0,0.898309,65.5652
Adamax,8,3,8_3,1.762167,22.6957
rmsprop,8,4,8_4,1.924669,22.6957
SGD,8,3,8_3,1.588565,29.6522
SGD,8,1,8_1,1.590870,29.6522
Adadelta,5,2,5_2,1.263123,38.4348
Adam,5,4,5_4,2.149592,22.6957
Adagrad,1,1,1_1,0.333207,87.9130
Adam,1,2,1_2,0.255827,91.8261
Nadam,2,0,2_0,0.461898,84.5217
SGD,5,1,5_1,1.576980,29.6522
Adamax,5,0,5_0,0.671279,76.2609
Adagrad,8,2,8_2,1.788158,22.6957
Adam,3,2,3_2,1.230633,45.3043
Adagrad,6,3,6_3,2.007256,22.6957
rmsprop,2,0,2_0,0.434169,84.6087
Nadam,1,0,1_0,0.492928,84.7826
Nadam,1,3,1_3,0.265438,90.6087
rmsprop,5,4,5_4,1.977972,20.7826
Adam,0,1,0_1,0.293966,90.0000
Adagrad,6,4,6_4,1.832247,20.1739
Adadelta,4,4,4_4,1.341650,36.6957
Adamax,6,1,6_1,1.586959,22.7826
rmsprop,5,2,5_2,1.581649,24.0000
Nadam,2,0,2_0,0.467230,85.2174
Adamax,8,2,8_2,1.718636,22.6957
Adam,1,1,1_1,0.273631,91.0435
rmsprop,7,0,7_0,1.664765,23.4783
rmsprop,5,1,5_1,1.485440,33.8261
Adam,3,3,3_3,1.214842,48.5217
Nadam,3,3,3_3,2.123843,33.5652
Adamax,4,1,4_1,0.541789,81.6522
Nadam,0,3,0_3,0.276786,91.9130
Adadelta,8,2,8_2,1.608383,22.6957
SGD,0,0,0_0,1.431482,29.7391
Adamax,8,1,8_1,1.578940,26.6087
Adadelta,0,1,0_1,0.336577,87.9130
Adagrad,8,3,8_3,1.563944,29.6522
Adagrad,7,0,7_0,1.478189,28.2609
Adadelta,8,4,8_4,1.616025,22.6957
Adadelta,4,3,4_3,1.485620,31.7391
rmsprop,8,2,8_2,1.914472,22.6957
Adagrad,8,0,8_0,1.177209,36.5217
Adagrad,5,1,5_1,1.154636,51.5652
Adamax,7,1,7_1,1.388347,25.4783
Adamax,1,0,1_0,0.463318,85.3913
Nadam,7,0,7_0,1.148252,38.9565
rmsprop,1,0,1_0,0.482784,82.9565
SGD,1,2,1_2,1.558134,29.6522
Adagrad,5,2,5_2,1.572614,27.8261
SGD,8,0,8_0,1.587208,29.6522
Nadam,2,1,2_1,0.299176,90.6957
SGD,7,1,7_1,1.586938,22.6957
Adamax,6,4,6_4,1.968733,22.6957
Adam,1,3,1_3,0.253728,92.0870
rmsprop,6,1,6_1,1.177580,41.5652
rmsprop,7,1,7_1,1.540119,24.6957
Adagrad,1,2,1_2,0.259870,90.7826
Adam,5,1,5_1,1.309537,39.4783
SGD,2,1,2_1,1.492323,29.6522
Adadelta,3,4,3_4,1.424827,31.4783
rmsprop,8,3,8_3,1.907158,22.6957
SGD,4,1,4_1,1.556080,29.6522
rmsprop,7,1,7_1,1.784475,25.6522
Adam,6,2,6_2,1.843174,23.4783
Adagrad,6,1,6_1,1.188981,40.4348
Nadam,4,4,4_4,1.510242,33.9130
SGD,5,4,5_4,1.585646,29.6522
Adam,1,2,1_2,0.267742,90.6087
Adagrad,4,0,4_0,0.454993,87.3913
Adam,0,4,0_4,0.275663,91.3043
SGD,6,0,6_0,1.576221,29.6522
Nadam,8,0,8_0,1.819534,26.2609
rmsprop,3,1,3_1,0.881752,66.6087
SGD,5,3,5_3,1.585401,29.6522
Adam,1,3,1_3,0.257704,92.3478
Adagrad,6,2,6_2,1.866694,23.6522
Adagrad,0,0,0_0,0.438694,85.7391
Adadelta,4,2,4_2,2.081953,20.6087
SGD,6,2,6_2,1.579671,29.6522
Nadam,0,4,0_4,0.260323,91.1304
Adam,4,3,4_3,1.872156,28.0000
Adagrad,2,2,2_2,0.417514,84.6087
SGD,0,0,0_0,0.854825,66.1739
Adam,1,0,1_0,0.481100,84.8696
SGD,2,2,2_2,1.505827,29.6522
SGD,7,1,7_1,1.579676,29.6522
Adamax,5,1,5_1,1.419825,38.7826
Nadam,5,1,5_1,1.350958,34.5217
Adagrad,1,0,1_0,0.391518,88.3478
rmsprop,5,1,5_1,1.345890,37.3043
Adam,4,0,4_0,0.419024,87.3043
Adam,7,4,7_4,1.682227,43.0435
Adamax,0,2,0_2,0.277961,90.5217
rmsprop,4,2,4_2,1.233702,44.2609
rmsprop,2,3,2_3,0.538944,80.0000
SGD,7,4,7_4,1.590083,29.6522
Adam,0,0,0_0,0.362804,87.9130
Adam,8,2,8_2,1.875598,22.6957
Adadelta,7,3,7_3,1.338020,28.7826
Adadelta,3,1,3_1,0.482335,81.2174
Nadam,6,0,6_0,1.034098,56.4348
Adagrad,2,3,2_3,0.412254,84.8696
Adamax,1,3,1_3,0.250743,91.3043
Adadelta,2,3,2_3,0.516215,81.3913
SGD,1,1,1_1,1.433455,29.6522
Adamax,0,4,0_4,0.268108,90.9565
Nadam,0,1,0_1,0.330876,88.9565
Adagrad,0,2,0_2,0.261868,90.6957
rmsprop,1,1,1_1,0.356437,88.3478
rmsprop,4,0,4_0,0.461047,82.3478
rmsprop,2,0,2_0,0.493494,83.0435
Adamax,3,2,3_2,0.448094,84.1739
Adagrad,2,1,2_1,0.480211,81.7391
Adam,0,4,0_4,0.249491,92.3478
Adamax,7,3,7_3,1.838084,22.6957
Nadam,7,2,7_2,1.798417,22.2609
SGD,6,3,6_3,1.587063,29.6522
rmsprop,4,1,4_1,0.507362,83.9130
rmsprop,5,2,5_2,1.556231,29.0435
SGD,8,1,8_1,1.591552,29.6522
Nadam,8,0,8_0,1.083456,51.1304
SGD,5,3,5_3,1.585251,29.6522
Adadelta,4,4,4_4,1.153339,46.9565
Nadam,3,2,3_2,0.302569,89.7391
Adagrad,5,4,5_4,1.643532,25.4783
Adamax,2,0,2_0,0.408278,87.9130
Adamax,7,0,7_0,1.571769,25.0435
Adamax,0,4,0_4,0.242736,91.9130
Adamax,4,1,4_1,0.463060,83.2174
Nadam,1,1,1_1,0.284441,90.7826
rmsprop,5,4,5_4,1.965934,22.4348
Adam,0,3,0_3,0.274648,90.9565
Adagrad,6,0,6_0,0.958098,65.7391
Nadam,2,2,2_2,0.395166,85.8261
SGD,8,3,8_3,1.590885,29.6522
Adadelta,7,4,7_4,1.800995,22.6957
Adagrad,4,1,4_1,0.693109,76.3478
Adadelta,5,1,5_1,1.726353,22.0000
Adam,8,2,8_2,1.782817,22.6957
Adamax,0,3,0_3,0.247610,91.6522
rmsprop,8,3,8_3,1.977121,22.6957
Adamax,6,2,6_2,1.581964,23.6522
Adam,8,3,8_3,1.972225,22.6957
Adamax,0,1,0_1,0.297515,90.2609
rmsprop,2,3,2_3,0.552182,79.8261
Adam,5,1,5_1,1.632738,34.3478
Adagrad,8,3,8_3,1.568279,30.0870
Adamax,4,4,4_4,1.917305,22.6957
SGD,5,4,5_4,1.587150,29.6522
Adam,1,4,1_4,0.280741,91.3913
rmsprop,5,4,5_4,1.975196,21.5652
Adamax,3,3,3_3,1.371931,35.7391
Adadelta,4,1,4_1,1.364823,40.4348
Adam,2,4,2_4,0.414556,83.4783
Adadelta,0,4,0_4,0.259105,90.2609
Adamax,3,2,3_2,1.024698,59.0435
Adadelta,8,1,8_1,1.682736,22.6957
SGD,6,1,6_1,1.581928,29.6522
Nadam,0,4,0_4,0.265411,90.9565
Adam,0,0,0_0,0.374335,88.5217
Adam,3,0,3_0,0.430087,85.7391
Adadelta,0,4,0_4,0.295734,89.3913
Nadam,4,3,4_3,1.167745,54.0000
SGD,3,1,3_1,1.178546,58.7826
Adamax,5,1,5_1,1.600562,32.1739
Adadelta,8,4,8_4,1.698852,22.6957
Adagrad,3,3,3_3,1.754469,29.6522
rmsprop,8,4,8_4,1.841248,22.6957
Adagrad,8,0,8_0,1.458621,29.9130
Adagrad,2,1,2_1,0.540520,81.8261
Adamax,4,1,4_1,1.059352,57.5652
Adam,8,3,8_3,2.031319,22.6957
Adadelta,3,3,3_3,1.184396,46.9565
Adam,8,0,8_0,1.198038,46.2609
Adam,8,1,8_1,1.543785,33.4783
Nadam,0,2,0_2,0.361314,85.7391
Adadelta,1,3,1_3,0.403614,84.3478
Adam,5,4,5_4,2.056391,22.6957
SGD,5,2,5_2,1.579599,29.6522
rmsprop,6,1,6_1,1.679931,24.0870
rmsprop,8,0,8_0,1.498144,35.7391
rmsprop,4,3,4_3,2.078003,20.0870
SGD,3,2,3_2,1.559725,29.6522
SGD,5,2,5_2,1.583644,29.6522
Adam,5,4,5_4,2.306830,22.6957
Adam,6,0,6_0,0.519132,82.6087
SGD,8,2,8_2,1.592009,29.6522
rmsprop,7,4,7_4,1.918876,20.0000
Adagrad,4,3,4_3,1.495855,29.2174
Adam,4,0,4_0,0.378502,87.8261
Adam,8,4,8_4,1.843508,22.6957
rmsprop,0,4,0_4,0.286202,90.2609
Adamax,5,3,5_3,2.034316,22.6957
SGD,5,4,5_4,1.588136,29.6522
rmsprop,2,4,2_4,0.403760,85.9130
Nadam,2,0,2_0,0.400016,87.1304
Adamax,7,2,7_2,1.837346,22.6957
Adadelta,6,4,6_4,1.869752,22.7826
Nadam,6,3,6_3,2.197412,20.4348
Adamax,7,4,7_4,1.819152,22.6957
Nadam,3,4,3_4,0.673597,74.7826
Adam,6,0,6_0,0.685617,74.0000
SGD,5,4,5_4,1.590397,29.6522
rmsprop,7,1,7_1,1.566839,24.7826
Nadam,7,4,7_4,1.542836,20.6957
Adagrad,0,4,0_4,0.266623,90.1739
SGD,2,2,2_2,1.574489,29.6522
Adagrad,1,4,1_4,0.263298,91.1304
Nadam,3,4,3_4,1.745297,25.0435
rmsprop,2,4,2_4,0.518476,81.3913
Adam,6,3,6_3,1.862670,19.9130
rmsprop,3,2,3_2,0.808504,69.3043
Adam,5,2,5_2,1.882997,22.6087
Adagrad,1,4,1_4,0.300873,89.1304
Adamax,6,4,6_4,2.041939,22.6957
rmsprop,4,2,4_2,0.993399,59.1304
Adagrad,1,1,1_1,0.281877,90.5217
SGD,1,0,1_0,1.447796,29.6522
Nadam,3,1,3_1,0.480916,81.9130
Nadam,8,3,8_3,1.351171,32.6957
Adamax,6,4,6_4,2.009096,22.6957
rmsprop,6,2,6_2,1.788403,26.0000
Adagrad,7,0,7_0,1.341052,39.2174
SGD,2,4,2_4,1.577210,29.6522
Adam,6,3,6_3,2.059872,20.8696
Adam,0,1,0_1,0.273950,91.2174
SGD,2,2,2_2,1.505886,29.6522
rmsprop,6,0,6_0,0.945959,59.3043
Adadelta,1,0,1_0,0.437212,84.5217
Adadelta,2,2,2_2,0.380230,86.4348
Adagrad,4,4,4_4,1.952037,25.3913
Nadam,3,0,3_0,0.426677,87.3043
Adadelta,7,4,7_4,1.785447,22.6957
rmsprop,8,1,8_1,1.672079,22.6957
Nadam,2,2,2_2,0.283537,89.7391
SGD,3,0,3_0,1.529368,29.6522
Nadam,4,1,4_1,1.027649,59.5652
Adamax,8,3,8_3,1.725115,22.6957
Adamax,4,4,4_4,1.819801,22.6957
Adamax,0,0,0_0,0.433537,85.5652
Adamax,5,3,5_3,1.893666,22.6957
rmsprop,5,4,5_4,1.633637,24.9565
Nadam,4,3,4_3,1.497446,36.6087
Adagrad,5,4,5_4,2.161938,22.5217
rmsprop,3,3,3_3,1.736038,32.7826
Adadelta,0,2,0_2,0.355556,86.3478
Adagrad,4,0,4_0,0.528010,84.0870
Adamax,6,3,6_3,1.839520,22.7826
Adam,7,1,7_1,1.169585,40.7826
Adamax,8,1,8_1,1.772197,23.1304
Adamax,1,1,1_1,0.271400,91.2174
Nadam,7,2,7_2,2.414206,20.0000
Adadelta,7,3,7_3,1.427293,28.2609
SGD,0,1,0_1,1.416965,29.6522
rmsprop,7,4,7_4,1.470731,28.9565
Adadelta,4,0,4_0,0.606522,82.0000
SGD,3,2,3_2,1.555918,29.6522
Adadelta,8,1,8_1,1.727277,22.6957
Nadam,0,1,0_1,0.336689,87.8261
Adagrad,4,1,4_1,1.606389,31.3913
Nadam,6,2,6_2,2.095664,20.0870
Nadam,8,4,8_4,1.965056,22.6957
rmsprop,8,3,8_3,1.958868,22.6957
Adagrad,0,3,0_3,0.277416,90.1739
Nadam,1,4,1_4,0.404907,84.6087
Adadelta,2,2,2_2,0.401080,85.0435
Adadelta,0,3,0_3,0.357540,86.2609
Adam,7,3,7_3,1.599688,23.0435
Adadelta,8,3,8_3,1.243763,31.9130
Adam,7,1,7_1,1.615993,22.6957
Adam,0,2,0_2,0.258795,91.0435
Adagrad,7,1,7_1,1.491446,26.6087
rmsprop,8,0,8_0,1.443027,37.3913
rmsprop,3,1,3_1,0.501888,81.3913
Nadam,8,1,8_1,1.528834,26.0870
Nadam,0,3,0_3,0.290071,89.7391
Adagrad,1,1,1_1,0.346925,87.6522
Adam,3,4,3_4,1.460676,33.1304
Nadam,3,2,3_2,0.537574,80.8696
Adadelta,5,1,5_1,1.653501,28.8696
Adamax,8,2,8_2,1.762515,22.6957
Nadam,2,4,2_4,0.618459,78.6957
Nadam,7,2,7_2,1.233822,47.3913
rmsprop,2,3,2_3,0.322265,89.2174
rmsprop,2,1,2_1,0.388459,86.0000
Nadam,2,2,2_2,0.420797,84.2609
Adam,7,3,7_3,2.014215,22.6957
Nadam,1,4,1_4,0.297213,90.9565
rmsprop,8,4,8_4,1.953658,22.6957
Adagrad,0,4,0_4,0.287322,89.4783
Adamax,3,4,3_4,1.712588,28.6957
Adamax,4,3,4_3,1.920718,26.5217
Adamax,2,1,2_1,0.343281,88.4348
Adadelta,1,2,1_2,0.355222,87.8261
SGD,8,4,8_4,1.589336,29.6522
rmsprop,6,0,6_0,1.155352,52.9565
rmsprop,1,4,1_4,0.329752,88.7826
Adagrad,6,3,6_3,2.137048,20.2609
Adadelta,0,3,0_3,0.315144,88.9565
Adam,2,1,2_1,0.307612,89.3913
Adam,5,0,5_0,0.491719,83.1304
Adagrad,3,1,3_1,0.656533,76.6087
Adam,3,1,3_1,0.411753,85.7391
Adamax,4,0,4_0,0.477268,85.2174
rmsprop,3,2,3_2,0.726530,72.6957
rmsprop,0,1,0_1,0.377427,86.2609
rmsprop,6,3,6_3,2.249531,20.2609
Adadelta,6,2,6_2,1.323880,41.6522
Nadam,8,4,8_4,1.564130,29.6522
SGD,2,4,2_4,1.585661,29.6522
Nadam,8,0,8_0,1.572920,24.6087
Nadam,6,0,6_0,0.452232,83.7391
Adamax,4,0,4_0,0.424064,86.1739
Adagrad,3,2,3_2,1.682214,33.3913
Adadelta,3,3,3_3,0.826118,68.6087
Adamax,3,3,3_3,1.318298,41.4783
Adamax,0,3,0_3,0.238226,91.4783
Adadelta,2,1,2_1,0.407209,85.3913
Adamax,1,2,1_2,0.322263,88.3478
Adamax,4,0,4_0,0.451086,86.4348
rmsprop,3,0,3_0,0.484571,85.0435
Adagrad,0,3,0_3,0.260453,90.4348
SGD,3,0,3_0,1.042795,62.8696
SGD,3,0,3_0,0.964923,65.9130
Nadam,6,2,6_2,1.529579,28.6957
Nadam,5,2,5_2,2.177520,23.7391
Adam,1,3,1_3,0.246280,91.1304
Adamax,2,4,2_4,0.630072,75.9130
Adagrad,7,4,7_4,2.010481,20.2609
rmsprop,5,1,5_1,1.392883,32.8696
rmsprop,2,2,2_2,0.338285,87.8261
Adadelta,6,1,6_1,1.637397,23.3043
Adagrad,5,2,5_2,2.061488,23.9130
Adam,4,4,4_4,2.045665,23.4783
Adadelta,2,2,2_2,0.435883,84.3478
Adadelta,4,1,4_1,0.801508,70.3478
Adagrad,6,2,6_2,1.654940,24.7826
Nadam,8,0,8_0,1.353798,40.4348
Nadam,2,3,2_3,0.297418,89.0435
rmsprop,7,2,7_2,2.003769,22.6957
Nadam,7,3,7_3,1.792096,26.8696
rmsprop,3,0,3_0,0.467911,84.7826
Nadam,0,2,0_2,0.299782,89.8261
SGD,1,2,1_2,1.553407,29.6522
SGD,8,4,8_4,1.590609,29.6522
Adadelta,6,2,6_2,1.630355,27.5652
Adadelta,8,1,8_1,1.436242,33.3043
SGD,5,3,5_3,1.576773,29.6522
Adamax,1,3,1_3,0.260732,90.4348
Adadelta,8,3,8_3,1.681220,22.6957
Adam,1,1,1_1,0.259369,91.3043
SGD,3,2,3_2,1.572310,29.6522
Adam,8,2,8_2,1.699564,22.6957
Adadelta,6,2,6_2,1.765651,21.6522
Adadelta,0,0,0_0,0.401240,87.2174
Nadam,7,3,7_3,1.962457,21.1304
rmsprop,0,1,0_1,0.468569,83.9130
rmsprop,0,4,0_4,0.298448,90.6087
Nadam,0,1,0_1,0.356827,87.4783
Adadelta,5,3,5_3,2.000983,20.2609
rmsprop,0,2,0_2,0.291433,89.9130
Adadelta,6,2,6_2,1.414722,29.7391
Adamax,3,1,3_1,0.447989,85.2174
rmsprop,7,0,7_0,1.479862,40.7826
Adam,4,0,4_0,0.416059,87.0435
Adam,7,1,7_1,1.422517,26.0000
Adam,0,4,0_4,0.265688,91.9130
Adagrad,4,2,4_2,1.309252,45.3913
Adamax,8,1,8_1,1.290542,38.7826
Adadelta,1,1,1_1,0.366754,86.7826
Nadam,4,0,4_0,0.446323,85.2174
SGD,5,3,5_3,1.581684,29.6522
Nadam,2,0,2_0,0.439690,86.2609
Adamax,3,4,3_4,1.516443,32.8696
Adagrad,8,3,8_3,1.849241,22.6957
Adamax,2,1,2_1,0.362365,87.0435
Adamax,2,0,2_0,0.820534,66.8696
Adagrad,4,4,4_4,2.194372,20.0870
Adamax,5,2,5_2,1.540414,25.7391
Nadam,8,2,8_2,2.141343,20.6957
SGD,5,2,5_2,1.585943,29.6522
Nadam,5,2,5_2,2.014799,24.6957
Adadelta,4,4,4_4,1.995376,22.6957
Adadelta,6,3,6_3,1.645438,24.7826
Adadelta,8,2,8_2,1.358934,32.3478
Adamax,8,3,8_3,1.705542,22.6957
Adam,8,0,8_0,1.574041,28.0000
Nadam,1,1,1_1,0.328438,88.8696
rmsprop,1,0,1_0,0.425341,86.3478
Adadelta,0,0,0_0,0.658372,72.1739
SGD,2,3,2_3,1.572718,29.6522
Adamax,6,2,6_2,1.738470,22.6957
rmsprop,0,0,0_0,0.455993,85.8261
Nadam,6,4,6_4,2.297245,22.6957
Adamax,2,3,2_3,0.446394,84.5217
Adadelta,8,1,8_1,1.783350,22.6957
Adamax,3,2,3_2,0.370689,87.4783
rmsprop,1,1,1_1,0.289423,90.0000
Adagrad,2,1,2_1,0.417001,86.4348
Adadelta,2,0,2_0,0.407449,87.7391
Adagrad,7,1,7_1,1.482195,26.7826
Adadelta,3,1,3_1,0.854536,68.9565
Adadelta,0,4,0_4,0.355539,88.5217
Nadam,5,1,5_1,1.246088,45.3913
Nadam,0,0,0_0,0.413070,86.6087
Adam,1,2,1_2,0.261581,91.3043
Adamax,6,4,6_4,1.913539,22.6957
Adamax,7,3,7_3,1.774629,22.6957
Adam,5,1,5_1,1.477764,31.7391
Adadelta,0,4,0_4,0.303982,88.8696
Adadelta,1,4,1_4,0.344285,86.9565
Adamax,5,0,5_0,1.238824,49.0435
rmsprop,3,0,3_0,0.516055,81.5652
SGD,2,3,2_3,1.554485,29.6522
Adagrad,3,0,3_0,0.468592,83.3913
Adam,7,2,7_2,1.585283,40.6957
Adagrad,2,2,2_2,1.159041,65.1304
Adamax,0,2,0_2,0.249827,91.2174
Adam,4,1,4_1,1.142123,48.8696
Adagrad,1,2,1_2,0.301455,88.6087
Adam,1,3,1_3,0.242412,91.6522
Nadam,0,4,0_4,0.260613,91.1304
Adadelta,0,4,0_4,0.317949,87.9130
Adagrad,8,4,8_4,1.736737,29.6522
SGD,6,2,6_2,1.584184,29.6522
Adagrad,2,0,2_0,0.470287,83.7391
Adam,0,4,0_4,0.277470,90.7826
rmsprop,1,3,1_3,0.301060,90.3478
Nadam,7,4,7_4,1.524406,24.4348
rmsprop,1,4,1_4,0.310414,89.1304
Nadam,3,2,3_2,0.370231,87.7391
Nadam,1,2,1_2,0.254931,91.6522
Adagrad,0,1,0_1,0.310594,88.6957
Adagrad,4,3,4_3,1.685658,24.2609
rmsprop,0,1,0_1,0.302719,89.3913
rmsprop,1,2,1_2,0.413790,84.0870
Adam,6,2,6_2,1.903949,23.4783
Adam,5,4,5_4,2.184345,18.6087
Nadam,4,4,4_4,1.463097,30.0000
Adam,4,1,4_1,0.488136,83.2174
Adam,4,0,4_0,0.419593,87.3913
SGD,4,0,4_0,1.565891,29.6522
Adadelta,7,2,7_2,1.893354,24.5217
Adamax,4,4,4_4,1.742705,30.5217
Adam,3,4,3_4,1.475871,31.8261
Adam,4,3,4_3,1.877147,28.2609
rmsprop,5,2,5_2,1.757257,23.9130
Adadelta,8,0,8_0,1.452723,42.8696
Adam,7,4,7_4,1.886208,22.6957
SGD,7,1,7_1,1.588475,29.6522
Adagrad,7,0,7_0,1.460150,30.0870
Nadam,0,4,0_4,0.278984,90.9565
Adagrad,1,3,1_3,0.303656,88.7826
Adagrad,4,3,4_3,1.511165,27.5652
rmsprop,1,0,1_0,0.476207,86.3478
Adamax,8,2,8_2,1.772156,22.6957
Adadelta,0,4,0_4,0.320890,89.9130
Adagrad,3,1,3_1,0.989641,61.4783
rmsprop,1,2,1_2,0.260717,92.4348
Adamax,7,4,7_4,1.795603,22.6957
SGD,0,0,0_0,0.825975,67.2174
Adamax,5,0,5_0,0.497163,83.1304
SGD,6,4,6_4,1.588290,29.6522
Adadelta,0,2,0_2,0.305194,89.4783
Adagrad,3,3,3_3,1.543639,29.3913
Adam,5,3,5_3,2.002159,24.7826
Adamax,2,3,2_3,0.350749,87.3913
Adam,0,1,0_1,0.250936,92.0870
Adamax,6,4,6_4,1.862045,20.8696
rmsprop,5,2,5_2,2.001283,20.3478
Adamax,6,2,6_2,1.872148,22.6957
Nadam,3,1,3_1,0.390809,85.2174
rmsprop,3,3,3_3,0.823299,69.8261
Adam,5,0,5_0,0.567793,80.5217
Adadelta,1,2,1_2,0.382319,85.4783
Adam,1,1,1_1,0.268307,90.8696
Adadelta,8,2,8_2,2.029907,22.6957
Adadelta,3,0,3_0,0.562122,80.0870
rmsprop,0,3,0_3,0.308587,89.9130
Adam,5,2,5_2,1.879745,24.4348
Adagrad,0,3,0_3,0.265677,90.6957
rmsprop,4,0,4_0,0.426031,86.7826
Adamax,1,4,1_4,0.242625,91.8261
rmsprop,3,0,3_0,0.623577,79.1304
rmsprop,6,2,6_2,1.834190,21.3043
Adagrad,5,2,5_2,1.777725,24.8696
Nadam,7,0,7_0,1.456963,28.7826
Adam,2,4,2_4,0.317044,89.8261
rmsprop,6,3,6_3,2.056284,20.7826
Nadam,1,0,1_0,0.386526,88.4348
Adamax,0,0,0_0,0.439529,86.2609
SGD,3,0,3_0,1.557259,29.6522
Adam,1,4,1_4,0.280567,90.5217
Adamax,3,2,3_2,0.472394,83.3913
Nadam,7,4,7_4,2.140580,22.6957
SGD,0,3,0_3,1.532515,29.6522
